source,name,diameter_m,velocity_km_s,distance_km,risk_factor,mitigation_strategy
NEO,(2025 OP1),11.7500571456,7.7978985692,1204730.122446945,88.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 OQ1),128.2448632429,18.1008500112,8131582.093466604,83.5,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OR1),33.422580561,12.2631034692,4622822.171389099,54.3,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OY3),22.9107854722,13.8483409908,3043672.082157531,69.8,Debris shielding for satellites in orbit.
NEO,(2025 OX),55.212826285,10.3846696659,4524801.667661757,56.5,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 OU1),75.5161740526,18.3961990198,2679143.810773261,86.9,Analysis of meteor composition for chemical hazards.
NEO,(2025 OZ),96.8366994728,13.8518485621,5375649.007872141,62.6,Reinforcement of buildings against shockwaves.
NEO,(2025 OK1),52.7278397554,6.6773238629,2191194.828274136,78.7,Meteor insurance programs for property damage.
NEO,(2025 OZ10),43.8571068371,28.3899219816,4664877.393879665,59.7,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 QX2),43.4550224647,5.1146631618,5712792.955319088,43.1,Satellite observation to track fragmenting meteors.
NEO,(2025 OF2),62.5230245403,30.0784112106,489227.490775506,100,Research into long-term planetary defense strategies.
NEO,(2025 OS5),34.3589575421,8.4989836171,2280484.007439567,77.5,Meteor insurance programs for property damage.
NEO,(2018 BY6),121.3500553547,7.4156350903,5259469.970609098,56.6,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 MB90),89.5447191727,8.5848992965,9462481.219417747,10.3,International coordination for disaster management.
NEO,(2025 OS),6.1381850734,12.7033859465,10457.324946823,99.9,Research into long-term planetary defense strategies.
NEO,(2025 OM2),7.944013596,20.0458287168,88150.754334518,99.1,Research into long-term planetary defense strategies.
NEO,(2025 OY10),15.6329154409,7.8445581353,920233.255801878,90.8,Post-impact environmental monitoring plans.
NEO,(2025 OB22),13.3057689797,7.6910127562,930043.67467946,90.7,Post-impact environmental monitoring plans.
NEO,(2025 PM3),28.9761031358,7.8314909225,2587347.565783861,74.3,Rapid response teams for search & rescue.
NEO,(2025 PU),4.8088361393,10.4980602925,52987.206519112,99.5,Research into long-term planetary defense strategies.
NEO,(2025 PJ2),30.7637999642,13.6110593639,1582263.864177109,84.7,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OR),61.3818507339,7.9719324444,4900865.086726626,52.4,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OD1),57.8149266216,12.3447848413,3736704.919277739,65.4,Debris shielding for satellites in orbit.
NEO,(2025 OC5),15.5610887188,3.4109976343,4806455.277189604,51.9,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OY8),17.866520367,10.6875540851,688168.60253801,93.2,Post-impact environmental monitoring plans.
NEO,(2025 PC),7.7275171712,9.479513672,112243.775533971,98.9,Research into long-term planetary defense strategies.
NEO,(2025 PE),96.8366994728,15.4684671182,790394.003195312,100,Research into long-term planetary defense strategies.
NEO,(2025 OR2),94.1976305719,14.61564944,8023913.693987648,36.5,Simulation drills for cities under high risk.
NEO,(2025 OR5),12.3606121324,2.6324804601,1741260.71403283,82.6,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OT5),23.7705909561,8.1072232635,4792232.110101484,52.2,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OW3),37.5007521798,13.9117749497,2951690.649964858,71.4,Rapid response teams for search & rescue.
NEO,(2025 OC6),13.6785473703,4.1164500508,2406888.597669442,75.9,Meteor insurance programs for property damage.
NEO,(2025 OU12),11.2730122458,4.3663517768,2241169.836801437,77.6,Meteor insurance programs for property damage.
NEO,(2025 PK3),52.0043866724,9.0469235449,7872828.970757718,22.4,Use nuclear devices only as last-resort deflection.
NEO,(2025 QM1),72.4502650757,11.4457477007,2323479.063588621,81.4,Temporary exclusion zones around predicted impact sites.
NEO,(2005 YX128),933.340215038,21.7172702856,9319365.0212106,100,Research into long-term planetary defense strategies.
NEO,(2018 BE5),74.8238376074,13.8988043617,4153921.111682399,66.1,Debris shielding for satellites in orbit.
NEO,613291 (2005 YX128),946.324270793,21.7172617355,9319390.99140083,100,Research into long-term planetary defense strategies.
NEO,(2025 OW),116.9607053693,20.9691254042,632687.120812814,100,Research into long-term planetary defense strategies.
NEO,(2025 OU2),36.8162863142,2.7368201925,5139169.063233945,48.6,Emergency medical preparation for blast injuries.
NEO,(2025 OP3),59.4346868419,6.9954779753,8073511.341887874,20.2,Use nuclear devices only as last-resort deflection.
NEO,(2025 OM4),54.2050786336,6.192688826,7096728.236212408,29.6,Public alert system for meteor airburst warnings.
NEO,(2025 OO4),37.5007521798,8.8121620527,2273418.589798189,77.7,Meteor insurance programs for property damage.
NEO,(2025 ON10),13.9971616686,10.7093363318,767597.397137279,92.4,Post-impact environmental monitoring plans.
NEO,(2025 OO11),29.7879062798,11.118588859,2823881.141258452,72.1,Rapid response teams for search & rescue.
NEO,(2025 PQ),17.1411509231,10.564165356,854408.158470846,91.5,Post-impact environmental monitoring plans.
NEO,(2025 OA4),58.3498815511,13.3599534259,6986030.330268082,33.5,Secure critical infrastructure in potential impact zones.
NEO,(2025 OL5),15.7050737,16.5812487159,131825.284009112,98.8,Research into long-term planetary defense strategies.
NEO,(2025 OL1),58.6192123671,7.5544670085,2076900.798972028,80.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 ON1),49.435619262,3.0715376947,6172041.272303186,38.4,Simulation drills for cities under high risk.
NEO,(2025 OE2),170.6239448846,30.0167525156,9832963.171872491,100,Research into long-term planetary defense strategies.
NEO,(2025 OX3),27.1668934089,9.3124089696,3782867.411128303,62.3,Reinforcement of buildings against shockwaves.
NEO,(2025 OU4),26.5484994169,12.4997237574,700011.921830809,93.3,Post-impact environmental monitoring plans.
NEO,(2025 OM10),77.6318576982,5.6532136383,2228304.345182502,79.1,Meteor insurance programs for property damage.
NEO,(2025 PD),19.4106455316,9.9145471488,567101.409993356,94.4,Post-impact environmental monitoring plans.
NEO,(2025 PN),40.9298335762,19.3547740041,647367.818026542,95.9,Research into long-term planetary defense strategies.
NEO,(2025 PO1),76.214916608,11.5180686827,2729044.304601515,78.2,Meteor insurance programs for property damage.
NEO,(2022 QB1),9.8637028131,3.8505462541,3415057.201832825,65.9,Debris shielding for satellites in orbit.
NEO,(2025 PG2),39.0876876124,6.9414121387,3435130.857380692,65.9,Debris shielding for satellites in orbit.
NEO,(2025 QO3),24.3242791478,5.8084046611,1680858.494609937,83.2,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OR12),96.3917752536,13.5960070643,8242513.057932603,33.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 PH2),18.5370225725,2.0196407369,1534738.027098087,84.7,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QW5),34.836938254,6.5351035874,5768259.357578988,42.5,Satellite observation to track fragmenting meteors.
NEO,(2025 OT7),90.7904103018,21.6334777956,4369344.48292768,89.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 PN1),87.9103438561,12.0638583971,9663353.160968767,12.6,International coordination for disaster management.
NEO,(2025 OW9),22.7007381285,6.8565748293,5664119.612818444,43.4,Satellite observation to track fragmenting meteors.
NEO,(2025 OA3),62.5230245403,13.6412379066,2294431.091658602,81.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PA),63.3928064522,9.9325147009,3294898.247876515,69.4,Debris shielding for satellites in orbit.
NEO,(2025 OX7),25.2371308101,3.969266242,7657459.110670536,23.4,Use nuclear devices only as last-resort deflection.
NEO,(2025 OY12),55.212826285,12.2585135759,1583236.624326784,86.5,Analysis of meteor composition for chemical hazards.
NEO,(2025 PQ1),25.7063241024,8.6710388933,325697.660901128,96.9,Research into long-term planetary defense strategies.
NEO,(2025 QD),17.1411509231,3.6763147906,1988111.531008776,80.1,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QL2),24.7765012606,8.9027506642,1418259.435060156,85.9,Analysis of meteor composition for chemical hazards.
NEO,(2025 OT4),66.0754270632,5.9896378374,1486233.954587348,86.1,Analysis of meteor composition for chemical hazards.
NEO,(2025 OQ5),77.2751717118,16.6871452642,1618466.937671571,95.9,Research into long-term planetary defense strategies.
NEO,(2025 PS2),65.7718380526,9.4260239534,3241093.070123817,70.0,Rapid response teams for search & rescue.
NEO,(2025 QF),47.8674154419,12.1593779314,6976930.516232787,31.8,Secure critical infrastructure in potential impact zones.
NEO,(2025 QV2),52.9712204056,11.8612682402,8258876.08791299,19.4,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2019 CO1),108.1533506775,10.5479180371,6828732.463421951,44.9,Satellite observation to track fragmenting meteors.
NEO,(2025 OJ1),162.9446023625,14.1686931008,5146292.210693356,100,Research into long-term planetary defense strategies.
NEO,(2025 OP9),44.8786700881,4.1916388295,8463236.606913049,15.5,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 QB1),30.6224531427,5.9305268633,2387603.711850937,76.2,Meteor insurance programs for property damage.
NEO,(2016 QF84),127.6556316195,7.5855234781,9532265.708614282,15.9,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 OR4),31.7716652976,4.574582585,1334144.307665693,86.7,Analysis of meteor composition for chemical hazards.
NEO,(2025 OJ10),45.502994579,6.4377473538,3523271.379220902,65.1,Debris shielding for satellites in orbit.
NEO,(2025 OL10),17.866520367,7.185279874,3997675.30681683,60.1,Reinforcement of buildings against shockwaves.
NEO,(2025 PU1),3.1335741707,9.9586233159,29273.131684156,99.7,Research into long-term planetary defense strategies.
NEO,(2025 QB),33.422580561,12.221207707,868532.905120293,91.8,Post-impact environmental monitoring plans.
NEO,(2025 QG),29.5148091135,6.8978571862,4574272.680965028,54.4,Fire suppression readiness in case of fireball impacts.
NEO,(2025 QQ4),147.9244553064,12.010225589,9201786.795069447,51.8,Fire suppression readiness in case of fireball impacts.
NEO,(2025 QU12),60.5396601689,12.0599533814,5332296.188416982,49.7,Emergency medical preparation for blast injuries.
NEO,(2025 CO3),149.2931834393,8.427975854,7595579.522522671,46.2,Emergency medical preparation for blast injuries.
NEO,(2025 PR1),22.7007381285,7.9184001803,980322.62119924,90.3,Post-impact environmental monitoring plans.
NEO,(2025 PS1),126.0201461003,10.6059845238,9732212.05822404,23.8,Use nuclear devices only as last-resort deflection.
NEO,(2025 QA),29.7879062798,7.4318458142,2269318.531055525,77.4,Meteor insurance programs for property damage.
NEO,(2025 QO),13.1232069853,7.0679307177,1197258.845784257,88.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 QQ),31.4803809193,11.132774675,1028001.033145875,90.1,Post-impact environmental monitoring plans.
NEO,(2025 QU),20.3254410722,9.8100322075,1725160.632228542,82.8,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QP1),36.4787525725,15.4948789798,944851.230886948,91.6,Post-impact environmental monitoring plans.
NEO,(2025 QC2),61.9498100059,7.951393673,9675557.654399108,4.7,Early detection and orbit monitoring to plan deflection.
NEO,(2025 PM),87.9103438561,13.501505765,1052124.243195494,100,Research into long-term planetary defense strategies.
NEO,(2025 QR),43.8571068371,12.1873491577,2688417.951206467,74.3,Rapid response teams for search & rescue.
NEO,(2025 PH3),51.7654482198,7.1847327139,5404399.324920221,46.6,Emergency medical preparation for blast injuries.
NEO,(2025 QA6),30.3417048048,6.5619823742,5238322.366912288,47.7,Emergency medical preparation for blast injuries.
NEO,(2025 QF7),49.6638037128,8.8346489136,3242897.983385154,68.5,Debris shielding for satellites in orbit.
NEO,(2025 ME89),85.5145429273,7.2753836304,9272680.597351393,10.4,International coordination for disaster management.
NEO,(2025 PX1),27.4182655787,5.7633493136,3364652.099429274,66.4,Debris shielding for satellites in orbit.
NEO,(2025 QX),64.5713667167,7.8773135476,4222312.186478606,59.3,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 QG1),22.2864029626,13.5882528526,2306562.282132642,77.1,Meteor insurance programs for property damage.
NEO,(2025 QH1),18.8816515525,9.1900913558,2388817.489128969,76.2,Meteor insurance programs for property damage.
NEO,(2025 QJ3),45.0858206172,10.245542021,3720011.622079753,63.7,Reinforcement of buildings against shockwaves.
NEO,(2025 QS4),52.9712204056,8.6383883752,2329494.618338126,77.7,Meteor insurance programs for property damage.
NEO,(2025 QY19),69.1894660026,4.4804333538,9016000.153131356,10.5,International coordination for disaster management.
NEO,(2021 PJ1),41.4992242792,9.2685293176,1657200.548895805,84.0,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PT1),29.109850751,12.5293264088,1822235.438060892,82.1,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PW1),17.0623944885,8.5066534076,276959.048849803,97.3,Research into long-term planetary defense strategies.
NEO,(2025 PF2),5.5980913209,13.0582654631,22361.336095481,99.8,Research into long-term planetary defense strategies.
NEO,(2025 QJ1),42.8587972046,13.5797995359,3547175.772466072,65.9,Debris shielding for satellites in orbit.
NEO,(2025 QV7),48.5333175224,7.0521735673,9537429.886925831,5.2,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 PY1),17.0623944885,6.7978329875,295328.395703908,97.1,Research into long-term planetary defense strategies.
NEO,(2025 PB2),52.4855773378,17.3082789107,2154734.147247534,82.5,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PL2),35.6483947878,25.2203163463,1739922.905160781,85.3,Analysis of meteor composition for chemical hazards.
NEO,(2025 QC),31.9183166414,7.5999134819,5578948.608697734,44.4,Satellite observation to track fragmenting meteors.
NEO,(2025 QA1),54.2050786336,12.2969335594,6263521.985465182,39.6,Simulation drills for cities under high risk.
NEO,(2025 QF3),11.7500571456,7.6669514982,1993653.309303991,80.1,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QG4),11.6423319742,6.0440028906,793016.887690235,92.1,Post-impact environmental monitoring plans.
NEO,(2016 BP14),383.7425691085,17.352112705,9641144.130464735,100,Research into long-term planetary defense strategies.
NEO,(2020 PX5),7.2784680305,12.0289343675,9473742.782513691,5.3,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 NH3),594.3468684194,22.5773607313,8578531.251488226,100,Research into long-term planetary defense strategies.
NEO,(2025 QL3),18.0318372445,4.1998156622,1952117.385899556,80.5,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QY16),51.7654482198,10.0469501616,1637498.105502556,84.9,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PR),38.0224396088,3.3724537756,6727023.190375936,32.8,Secure critical infrastructure in potential impact zones.
NEO,(2025 OE20),144.557283615,9.7349979174,9026973.261614366,36.6,Simulation drills for cities under high risk.
NEO,(2025 QF4),20.6081961232,10.7008513252,1614052.289568084,84.0,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QA5),16.8282896597,8.0440577501,979909.401962726,90.2,Post-impact environmental monitoring plans.
NEO,(2025 QT39),43.6757105124,6.3280422067,9118405.01139351,9.1,Evacuation of high-risk areas if impact is imminent.
NEO,(2019 QQ6),50.1233372306,17.0601978331,4136744.957439414,62.1,Reinforcement of buildings against shockwaves.
NEO,(2025 QC5),55.980913209,12.817445018,8595272.958556945,16.8,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 QG13),45.0858206172,9.0240530214,3711359.389911711,63.6,Reinforcement of buildings against shockwaves.
NEO,(2025 QV21),16.4452310205,10.5534718378,1172535.912833595,88.3,Analysis of meteor composition for chemical hazards.
NEO,(2025 RY),26.1842403492,8.1716657723,1289300.730476197,87.2,Analysis of meteor composition for chemical hazards.
NEO,(2015 UW67),175.404196192,8.1899448,9872362.91249226,35.3,Simulation drills for cities under high risk.
NEO,(2022 QD3),54.2050786336,6.9462783507,5907178.856819453,41.6,Satellite observation to track fragmenting meteors.
NEO,(2025 MR1),396.314515123,8.2520014335,8272876.758089059,100,Research into long-term planetary defense strategies.
NEO,(2025 OB3),83.1840342251,6.9904670247,3358236.220779649,69.1,Debris shielding for satellites in orbit.
NEO,(2025 PN2),52.9712204056,16.5701613758,3804512.771817964,65.8,Debris shielding for satellites in orbit.
NEO,(2025 QE),47.4285643393,4.8553395299,9298248.773227341,7.3,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 QM3),10.4722494541,9.249256469,204097.181869498,98.0,Research into long-term planetary defense strategies.
NEO,(2025 QU4),44.2629116503,18.3775498683,4199269.566723358,60.8,Reinforcement of buildings against shockwaves.
NEO,(2025 QU5),11.8042929452,8.9703722681,415584.333959339,95.9,Research into long-term planetary defense strategies.
NEO,(2025 QY11),66.0754270632,16.6495045333,9027445.497210594,17.2,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2023 PX),39.0876876124,8.3471141436,928694.436530143,91.1,Post-impact environmental monitoring plans.
NEO,(2025 QY),24.6626635778,7.7571678475,2875063.509315162,71.3,Rapid response teams for search & rescue.
NEO,(2025 QE2),59.9846292283,7.238978775,6552028.613578581,35.5,Simulation drills for cities under high risk.
NEO,(2025 QB4),13.1837809565,13.7041409836,768822.035220673,92.4,Post-impact environmental monitoring plans.
NEO,(2025 QE4),16.4452310205,6.3779080334,512659.050032967,94.9,Post-impact environmental monitoring plans.
NEO,(2025 QV4),53.9560289198,16.7330384011,1592496.986796163,88.2,Analysis of meteor composition for chemical hazards.
NEO,(2014 PS59),450.8582061718,14.925422673,9462537.198940702,100,Research into long-term planetary defense strategies.
NEO,(2025 PM2),99.5497053148,18.50443985,3725084.440972092,94.5,Post-impact environmental monitoring plans.
NEO,(2025 QC1),35.4846052917,9.428063251,1618119.930452319,84.2,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QX4),39.9981568182,6.8882989146,1405630.008880081,86.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 QM9),32.9640055641,10.9972548513,1336661.740622053,87.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 QW9),13.868834919,6.2798007985,1974074.373912214,80.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QK17),5.6239309364,12.3028753994,100065.701087473,99.0,Research into long-term planetary defense strategies.
NEO,(2025 QV3),18.1150684236,6.2041581809,3786175.274350382,62.2,Reinforcement of buildings against shockwaves.
NEO,(2025 QS12),38.7293295383,9.2213905514,4031112.629850519,60.2,Reinforcement of buildings against shockwaves.
NEO,(2025 QK15),64.8694146035,23.5694897537,8710290.488037733,27.1,Public alert system for meteor airburst warnings.
NEO,(2025 QE16),51.0551996437,3.9501287333,1946127.96589794,80.7,Temporary exclusion zones around predicted impact sites.
NEO,(2025 RE1),28.8429700351,5.3050028673,3359531.977690441,66.5,Debris shielding for satellites in orbit.
NEO,(2025 QB3),36.4787525725,7.0358692747,7311112.829767983,27.1,Public alert system for meteor airburst warnings.
NEO,(2025 QK3),61.6651764838,12.7187526329,4492508.633695485,58.6,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 QB5),43.655601735,4.7633726198,4480231.001866502,55.4,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 QK7),82.4213984152,14.9900514943,8850165.678310907,23.3,Use nuclear devices only as last-resort deflection.
NEO,(2025 QZ8),49.435619262,8.6046502053,6120957.952996203,39.6,Simulation drills for cities under high risk.
NEO,(2025 QY9),125.3256537574,17.1718037297,3101994.86126785,100,Research into long-term planetary defense strategies.
NEO,(2025 QM14),48.9823907803,10.8438548609,2666556.032640194,74.6,Rapid response teams for search & rescue.
NEO,(2025 QS16),54.706632051,8.8045493388,7711897.611005879,24.1,Use nuclear devices only as last-resort deflection.
NEO,(1997 QK1),520.0438667242,9.8322282317,3011714.700932178,100,Research into long-term planetary defense strategies.
NEO,(2025 OV4),101.8685158322,10.7719240793,2891560.32467069,82.6,Temporary exclusion zones around predicted impact sites.
NEO,(2025 PM1),43.0566244241,4.8677869911,3724204.251984373,62.9,Reinforcement of buildings against shockwaves.
NEO,(2025 PW2),21.4802820076,11.4270066127,1491627.077479144,85.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 QP3),74.8238376074,6.0529543262,1060483.981608112,90.8,Post-impact environmental monitoring plans.
NEO,(2025 QC4),21.4802820076,6.9232044175,3557005.938262494,64.5,Reinforcement of buildings against shockwaves.
NEO,(2025 QC6),32.0656448971,18.4707129364,2537097.192457251,75.7,Meteor insurance programs for property damage.
NEO,(2025 QT11),104.7224945415,18.5085005391,9260826.62669025,44.3,Satellite observation to track fragmenting meteors.
NEO,(2025 QW11),44.4672199676,7.6116707494,5261947.341255872,47.9,Emergency medical preparation for blast injuries.
NEO,(2025 RB3),53.5352677115,4.282627035,5476168.035385075,45.5,Emergency medical preparation for blast injuries.
NEO,(2025 PF3),37.1569432173,6.9386690379,6259982.320343538,37.6,Simulation drills for cities under high risk.
NEO,(2025 QV5),19.3214617164,6.2056158397,804973.676967429,92.0,Post-impact environmental monitoring plans.
NEO,(2025 QM6),94.1976305719,10.0374382766,4191007.306282832,66.0,Debris shielding for satellites in orbit.
NEO,(2025 QD8),36.3111479288,12.7904133243,218327.529655378,98.6,Research into long-term planetary defense strategies.
NEO,(2025 QG16),32.6617897446,11.8623566175,2484659.548673371,75.6,Meteor insurance programs for property damage.
NEO,(2025 RA),46.9937366478,5.874367093,7160014.149056782,28.7,Public alert system for meteor airburst warnings.
NEO,(2025 RM1),69.1894660026,12.5555804223,103293.275132723,100,Research into long-term planetary defense strategies.
NEO,(2025 RU1),16.5973968696,7.2789881992,672188.303748231,93.3,Post-impact environmental monitoring plans.
NEO,(2025 RY6),41.3466167729,11.449506741,3667498.685687902,64.2,Reinforcement of buildings against shockwaves.
NEO,(2025 QH16),23.8803110188,8.308518047,2214370.231098796,77.9,Meteor insurance programs for property damage.
NEO,(2025 RB),28.8429700351,14.7557350247,6488889.127129363,35.6,Simulation drills for cities under high risk.
NEO,(2025 RF),31.0484539006,22.9562292617,1508152.480987629,86.4,Analysis of meteor composition for chemical hazards.
NEO,(2025 RN1),4.7210649881,13.2020531084,127177.921459053,98.7,Research into long-term planetary defense strategies.
NEO,(2025 RO1),4.3655601735,11.7262375026,298399.625015221,97.0,Research into long-term planetary defense strategies.
NEO,(2025 RV3),27.8124968268,5.0530247174,2410908.412114638,75.9,Meteor insurance programs for property damage.
NEO,(2025 SC1),34.0596341561,8.1133104981,9426744.592081945,6.0,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 TR1),63.3928064522,9.3978993607,5569762.102696774,46.4,Emergency medical preparation for blast injuries.
NEO,(2025 PJ3),54.4552779086,11.6870328531,3016506.949019332,71.9,Rapid response teams for search & rescue.
NEO,(2025 QW19),12.706910727,4.7393994471,1142893.588566066,88.6,Analysis of meteor composition for chemical hazards.
NEO,(2025 RK),65.1688382168,12.1575524633,3958514.518874811,64.3,Reinforcement of buildings against shockwaves.
NEO,(2025 RC3),64.9590969478,12.0589809412,5231190.049103446,51.4,Fire suppression readiness in case of fireball impacts.
NEO,(2025 QP),87.5064325156,8.006912018,8164341.319275157,22.4,Use nuclear devices only as last-resort deflection.
NEO,(2025 QB13),46.9937366478,20.3284245129,2113854.300261771,82.9,Temporary exclusion zones around predicted impact sites.
NEO,(2025 QV13),26.1842403492,18.3208017766,2147188.984196853,79.1,Meteor insurance programs for property damage.
NEO,(2025 RY1),238.8031101878,5.3776148726,4461298.015117598,92.4,Post-impact environmental monitoring plans.
NEO,(2025 SW1),37.7954898821,6.7386919998,7157303.061657707,28.7,Public alert system for meteor airburst warnings.
NEO,(2025 OX12),153.4758257748,9.6321709501,8793411.71710349,43.5,Satellite observation to track fragmenting meteors.
NEO,(2025 QV11),49.435619262,11.3883812343,6186175.443618443,39.6,Simulation drills for cities under high risk.
NEO,(2025 RE),22.8055199748,10.228172674,2359526.974172319,76.5,Meteor insurance programs for property damage.
NEO,(2025 RA1),42.8587972046,12.3315873357,3372856.285976666,67.4,Debris shielding for satellites in orbit.
NEO,(2025 RE4),26.6219570705,9.4099455682,8840174.590085724,11.8,International coordination for disaster management.
NEO,(2025 SR1),124.119488957,15.7961265027,9631276.595120385,48.5,Emergency medical preparation for blast injuries.
NEO,(2017 RK15),43.4550224647,13.2030465263,6039668.355371365,40.9,Satellite observation to track fragmenting meteors.
NEO,(2020 TS1),8.5909260123,3.2718396653,6804676.662172554,32.0,Secure critical infrastructure in potential impact zones.
NEO,(2025 PX),87.9103438561,7.0053438732,6310728.954684299,40.0,Satellite observation to track fragmenting meteors.
NEO,(2025 QY4),89.9580388169,13.5179830044,4520000.982254735,67.3,Debris shielding for satellites in orbit.
NEO,(2025 QY7),9.3764831773,7.1934844814,675632.375830945,93.2,Post-impact environmental monitoring plans.
NEO,(2025 QC18),39.2681081809,8.8090730067,9735689.80478729,3.1,Early detection and orbit monitoring to plan deflection.
NEO,(2025 QM23),26.3051013113,6.7890556701,1394663.273266334,86.1,Analysis of meteor composition for chemical hazards.
NEO,(1998 SH2),394.4936153285,17.3001945958,3108489.009523059,100,Research into long-term planetary defense strategies.
NEO,(2025 QK6),25.8249791033,21.4977991809,1067900.430651445,90.1,Post-impact environmental monitoring plans.
NEO,(2025 RC),22.8055199748,12.4291135587,1322061.048349201,87.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 RT),30.7637999642,9.6450195633,1549630.255699995,84.8,Temporary exclusion zones around predicted impact sites.
NEO,(2025 RZ5),72.5838463911,5.0288971893,8794295.720836895,13.0,International coordination for disaster management.
NEO,(2025 QO7),23.9905375262,8.174774188,272817.252301409,97.4,Research into long-term planetary defense strategies.
NEO,(2025 QQ7),167.5097069204,21.6891159402,8969355.851420883,100,Research into long-term planetary defense strategies.
NEO,(2025 QM10),18.9688052962,5.3080422979,5576584.977311521,44.3,Satellite observation to track fragmenting meteors.
NEO,(2025 QR12),105.2058716137,6.5882793376,5214222.404371667,52.6,Fire suppression readiness in case of fireball impacts.
NEO,(2025 QT12),18.7948982439,12.9108556259,519047.926267057,94.9,Post-impact environmental monitoring plans.
NEO,(2025 QO14),23.8803110188,10.8120635234,1800496.997576517,82.1,Temporary exclusion zones around predicted impact sites.
NEO,(2025 RG),13.3671856188,14.2705430632,1056688.653726638,89.5,Analysis of meteor composition for chemical hazards.
NEO,(2025 RF1),38.1979432159,7.7858584139,2979081.257012721,70.5,Rapid response teams for search & rescue.
NEO,(2025 QX9),27.5448225424,3.0467189199,6780859.90335963,32.2,Secure critical infrastructure in potential impact zones.
NEO,(2025 QL11),26.917825833,5.4113269874,2338575.179127552,76.7,Meteor insurance programs for property damage.
NEO,(2025 QL17),51.2908597378,10.7006224128,8977396.168461477,11.7,International coordination for disaster management.
NEO,(2025 RQ2),28.1864238812,12.7965996302,573547.851487822,94.6,Post-impact environmental monitoring plans.
NEO,(2025 SN1),24.1345929665,10.0012968355,1875736.872298342,81.4,Temporary exclusion zones around predicted impact sites.
NEO,(2025 RQ7),21.9098789824,9.6160188558,462680.151961046,95.5,Research into long-term planetary defense strategies.
NEO,(2025 RW14),2.8277432787,9.0412737735,96895.034071971,99.0,Research into long-term planetary defense strategies.
NEO,(2009 FF),244.36554919,12.9265820124,2613242.957080861,100,Research into long-term planetary defense strategies.
NEO,(2025 QO1),136.7854737026,13.5867546259,3320427.214150737,100,Research into long-term planetary defense strategies.
NEO,(2025 QL7),89.1332985597,10.2882984795,5827685.750095871,48.8,Emergency medical preparation for blast injuries.
NEO,(2025 QX11),70.8010957001,7.1421861102,9091854.306626976,10.8,International coordination for disaster management.
NEO,(2025 QJ17),44.4672199676,5.7985564284,6496635.065481371,35.3,Simulation drills for cities under high risk.
NEO,(2025 RR),75.1692087496,22.3896341748,4343865.856336713,76.5,Meteor insurance programs for property damage.
NEO,(2025 RU),50.3546960434,18.6372848087,3198222.434523242,72.2,Rapid response teams for search & rescue.
NEO,(2025 RK2),31.0484539006,8.1103799176,1382690.237660458,86.4,Analysis of meteor composition for chemical hazards.
NEO,(2025 SB1),36.2276346061,7.273547826,5123840.44268546,49.0,Emergency medical preparation for blast injuries.
